trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,93,99,64,63,99,78,84,99,99,91,0
0,83,97,42,51,99,80,91,99,96,0,1
0,93,99,0,0,99,79,90,99,98,95,0
0,96,99,64,47,99,78,89,99,99,1,1
0,97,99,42,46,99,80,80,99,99,2,0
0,92,99,100,34,99,78,85,99,98,23,1
0,96,99,0,99,99,77,84,99,99,53,0
0,96,99,64,72,99,80,83,99,99,91,1
0,97,99,42,25,99,78,81,99,98,38,0
1,98,88,64,89,99,99,99,99,96,71,1
0,96,99,0,74,99,79,81,99,99,3,0
0,92,89,98,68,99,89,100,99,88,45,1
0,88,88,64,52,99,96,99,99,96,86,1
1,87,90,17,98,99,98,100,98,93,49,0
0,96,98,64,59,99,88,99,99,99,34,1
1,90,86,17,20,99,99,99,99,85,9,1
0,92,98,8,17,99,80,99,99,99,99,1
0,96,98,64,3,99,87,99,99,99,47,0
1,93,94,8,22,99,98,99,99,94,2,0
1,94,94,0,79,99,78,99,99,99,0,0
1,93,97,29,68,99,92,100,99,98,1,0
1,85,91,64,97,99,95,99,99,95,14,1
0,87,96,42,22,98,90,99,95,97,26,1
0,85,87,4,36,99,99,99,91,93,33,1
0,95,94,50,36,99,86,100,98,96,85,1
0,88,93,100,92,99,88,99,98,90,97,1
0,97,98,17,2,99,95,99,97,99,15,1
0,88,88,42,75,99,99,100,99,88,89,0
0,94,86,77,92,99,99,100,98,90,99,1
1,91,88,64,98,99,97,100,99,89,87,0
0,97,99,100,40,99,78,80,99,99,99,0
0,91,99,64,73,99,78,99,99,98,99,1
0,93,99,64,81,99,87,99,99,99,2,1
0,96,99,64,84,99,80,84,99,99,2,1
0,95,99,87,78,99,78,95,99,99,99,0
0,90,99,4,72,99,80,86,99,97,90,1
0,93,99,64,88,99,77,91,99,99,42,0
0,89,80,87,8,99,99,99,99,85,90,1
0,95,82,4,61,99,99,99,99,85,99,1
0,93,99,64,27,99,78,99,99,99,80,0
0,94,99,100,84,99,81,85,99,99,65,0
0,96,99,64,0,99,79,81,99,99,97,0
0,90,98,100,74,99,80,87,99,98,80,0
0,95,99,64,68,99,78,78,99,99,83,1
0,93,99,42,17,99,78,81,99,99,94,0
0,91,99,77,51,99,81,93,99,98,91,0
0,92,99,17,94,99,78,82,99,98,62,0
0,94,99,77,61,99,79,99,99,99,50,0
0,85,89,98,73,99,99,99,99,98,91,1
0,97,99,50,88,99,79,93,99,99,30,0
0,97,99,64,57,99,80,95,99,99,0,0
0,94,99,100,98,99,82,99,99,99,3,0
0,97,99,64,4,99,78,82,99,99,90,1
0,96,99,29,6,99,80,79,99,99,34,0
0,93,99,42,36,99,91,97,99,99,94,1
0,95,99,64,91,99,78,85,99,98,48,1
0,91,99,87,94,99,80,90,99,96,55,0
0,94,99,4,84,99,78,88,99,99,37,0
0,96,99,100,45,99,78,82,99,99,93,0
0,94,99,42,98,99,83,99,99,99,71,1
0,94,99,4,98,99,82,88,99,99,31,0
1,92,91,29,81,99,98,100,99,92,43,1
0,84,98,42,99,99,91,99,99,91,33,1
1,84,91,98,71,99,99,99,99,97,46,0
0,92,99,87,3,99,78,79,99,99,0,1
0,97,99,87,11,99,78,83,99,99,35,0
0,90,98,8,67,99,78,82,99,99,66,1
0,92,97,4,43,99,83,80,99,93,19,1
0,91,98,4,32,99,78,94,99,99,4,1
0,88,83,98,62,98,99,100,99,79,97,1
1,89,87,4,89,99,99,100,96,93,84,0
0,88,94,4,17,99,96,100,99,93,32,0
0,93,96,8,81,99,89,100,99,95,66,0
