trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,825,317,8000,-11035,71,924,579,130,359,134959,1
0,508,153,5000,-13874,38,974,803,122,188,112494,1
0,504,156,3000,-15791,35,951,643,118,208,112687,1
0,369,121,5000,-20462,32,960,664,130,149,72513,1
0,292,38,8000,-17212,37,927,915,101,167,53081,1
0,542,199,0,-14442,44,968,790,121,252,117259,1
0,397,131,3000,-18788,39,988,810,110,76,83182,1
0,366,131,5000,-17749,34,917,845,120,164,175338,1
0,322,152,8000,-16765,38,958,899,127,203,177730,0
1,232,705,5000,-6928,99,32,0,185,352,74280,1
0,375,162,3000,-17787,43,943,897,178,153,178721,1
0,571,667,6000,-7475,105,656,0,174,686,80025,1
0,696,677,5000,-7812,36,383,0,50,351,150034,1
1,725,611,4000,-6025,164,233,0,278,504,142923,1
0,379,219,5000,-11196,30,707,0,118,188,79786,1
1,640,740,4000,-4083,28,11,6,167,785,116879,0
0,552,279,10000,-10299,50,918,0,98,154,81810,1
0,397,235,5000,-9774,33,734,0,161,198,105192,0
1,518,492,10000,-8436,193,216,1,146,471,78848,0
1,454,464,3000,-11635,74,960,0,103,197,66152,0
1,496,331,2000,-11384,48,538,0,183,245,110191,1
1,776,574,5000,-5971,35,431,0,147,427,102895,1
0,736,350,8000,-10424,215,631,0,410,303,134003,1
0,779,733,9000,-8137,73,17,1,591,515,115009,1
0,422,477,11000,-8119,38,739,0,255,390,76183,1
0,700,513,0,-6845,69,684,0,249,637,82006,0
0,298,254,4000,-9740,37,407,0,318,55,79361,1
0,703,706,8000,-7320,161,198,0,121,705,120027,1
0,460,760,1000,-5729,131,120,0,261,642,175968,0
1,609,690,5000,-6075,94,346,0,162,654,94973,1
0,309,104,0,-23378,42,976,918,149,77,50329,1
0,584,139,5000,-11483,30,961,36,106,240,106759,0
0,516,135,5000,-17955,33,716,20,82,93,104020,1
0,373,183,5000,-18031,35,922,800,93,144,185057,1
0,423,116,7000,-17882,32,972,433,111,100,81501,1
0,640,187,9000,-17746,38,918,760,121,290,107447,1
0,513,101,5000,-19539,45,980,579,166,161,121106,0
0,668,921,7000,-3727,43,49,5,87,782,120000,1
0,425,864,9000,-4951,59,1,0,90,769,138222,1
0,506,188,5000,-14606,29,973,198,135,191,76322,0
0,478,166,0,-19672,43,879,769,79,148,114354,1
0,349,83,5000,-21928,35,945,899,168,77,62513,0
0,639,278,0,-11499,47,924,730,127,271,101448,0
0,427,84,5000,-20033,31,973,962,99,159,105973,1
0,515,99,8000,-21126,40,957,897,92,152,113563,1
0,588,49,1000,-20400,35,882,496,136,202,99929,1
0,537,112,4000,-18368,41,974,855,106,271,124353,1
0,480,27,1000,-26462,36,931,62,105,145,98966,0
0,772,650,6000,-5202,30,107,0,90,262,125082,1
0,311,116,11000,-18167,29,935,496,119,72,85999,0
0,315,30,5000,-26545,35,926,408,106,39,91171,1
0,467,105,0,-19093,31,860,11,112,76,103316,1
0,299,92,5000,-21554,32,976,860,194,145,94891,1
0,359,68,2000,-21495,34,916,929,104,76,102410,1
0,531,28,8000,-20689,33,596,314,114,157,94739,0
0,415,126,5000,-18253,57,962,770,98,237,177535,1
0,581,163,7000,-18367,37,926,614,118,386,124204,1
0,475,105,9000,-18046,35,962,695,115,56,54727,1
0,401,163,0,-17182,32,971,861,129,101,101049,1
0,453,142,8000,-19092,29,849,31,171,85,82818,0
0,479,63,9000,-19122,32,854,701,94,96,79740,1
1,541,607,2000,-7174,48,282,0,193,548,79974,0
0,820,278,8000,-6356,35,590,0,141,588,86068,1
1,808,577,6000,-7416,56,30,0,156,327,139864,0
